FRED Graph Observations,,,
Federal Reserve Economic Data,,,
Link: https://fred.stlouisfed.org,,,
Help: https://fredhelp.stlouisfed.org,,,
Economic Research Division,,,
Federal Reserve Bank of St. Louis,,,
,,,
PNICKUSDM,"Global price of Nickel, U.S. Dollars per Metric Ton, Monthly, Not Seasonally Adjusted",,
PCOPPUSDM,"Global price of Copper, U.S. Dollars per Metric Ton, Monthly, Not Seasonally Adjusted",,
PZINCUSDM,"Global price of Zinc, U.S. Dollars per Metric Ton, Monthly, Not Seasonally Adjusted",,
,,,
Frequency: Monthly,,,
observation_date,PNICKUSDM,PCOPPUSDM,PZINCUSDM
2007-12-01,26053.55555555560,6630.73611111111,2378.597222222220
2008-01-01,27774.77272727270,7078.90909090909,2364.409090909090
2008-02-01,28064.95238095240,7941.14285714286,2458.476190476190
2008-03-01,31093.05263157890,8434.31578947368,2511.184210526320
2008-04-01,28776.81818181820,8714.18181818182,2278.511363636360
2008-05-01,25656.50000000000,8356.12500000000,2178.325000000000
2008-06-01,22562.57142857140,8292.00000000000,1906.173809523810
2008-07-01,20106.95652173910,8407.02173913043,1856.445652173910
2008-08-01,19111.80000000000,7633.80000000000,1734.650000000000
2008-09-01,17781.86363636360,6975.11363636364,1744.522727272730
2008-10-01,12144.86956521740,4894.89130434783,1303.004347826090
2008-11-01,10776.50000000000,3729.18750000000,1169.362500000000
2008-12-01,9846.92857142857,3105.09523809524,1112.904761904760
2009-01-01,11562.95238095240,3260.35714285714,1202.523809523810
2009-02-01,10410.75000000000,3328.41250000000,1118.002500000000
2009-03-01,9710.72727272727,3770.87500000000,1223.218181818180
2009-04-01,11331.60000000000,4436.92500000000,1388.137500000000
2009-05-01,12720.07894736840,4591.46052631579,1492.518421052630
2009-06-01,14944.36363636360,5015.43181818182,1556.772727272730
2009-07-01,16017.39130434780,5228.41304347826,1580.858695652170
2009-08-01,19375.92500000000,6176.87500000000,1818.012500000000
2009-09-01,17404.63636363640,6195.75000000000,1879.147727272730
2009-10-01,18489.47727272730,6305.98863636364,2070.844545454550
2009-11-01,16911.33333333330,6682.44047619048,2196.547619047620
2009-12-01,17121.61904761900,6976.97619047619,2374.038095238100
2010-01-01,18405.55000000000,7367.37500000000,2414.662500000000
2010-02-01,19060.55000000000,6867.67500000000,2158.800000000000
2010-03-01,22467.17391304350,7466.93478260870,2277.263043478260
2010-04-01,26028.50000000000,7729.83750000000,2367.500000000000
2010-05-01,21930.00000000000,6843.15789473684,1969.789473684210
2010-06-01,19411.29545454550,6501.50000000000,1746.511363636360
2010-07-01,19548.52272727270,6750.56818181818,1847.027272727270
2010-08-01,21448.78571428570,7302.66666666667,2047.476190476190
2010-09-01,22690.13636363640,7729.59090909091,2150.943181818180
2010-10-01,23793.67857142860,8289.76190476190,2373.561904761900
2010-11-01,22836.22727272730,8458.42045454545,2283.295454545450
2010-12-01,24099.57142857140,9152.85714285714,2287.321428571430
2011-01-01,25621.22500000000,9533.20000000000,2375.812500000000
2011-02-01,28412.17500000000,9880.93750000000,2473.450000000000
2011-03-01,26710.34782608700,9503.35869565217,2341.478260869570
2011-04-01,26332.16666666670,9482.75000000000,2371.477777777780
2011-05-01,24164.55000000000,8931.67500000000,2159.600000000000
2011-06-01,22420.93181818180,9066.85227272727,2234.465909090910
2011-07-01,23847.95238095240,9650.46428571429,2397.754761904760
2011-08-01,21864.68181818180,8997.98863636364,2199.238636363640
2011-09-01,20377.59090909090,8300.13636363636,2075.220454545450
2011-10-01,19039.04761904760,7394.19047619048,1871.416666666670
2011-11-01,17873.00000000000,7581.02272727273,1935.318181818180
2011-12-01,18246.03750000000,7558.87500000000,1911.150000000000
2012-01-01,19908.61904761900,8061.91666666667,1989.226190476190
2012-02-01,20393.66666666670,8441.48809523810,2057.785714285710
2012-03-01,18660.80681818180,8470.78409090909,2035.925000000000
2012-04-01,17892.81578947370,8285.52631578947,2002.684210526320
2012-05-01,16968.31818181820,7896.90909090909,1928.011363636360
2012-06-01,16603.68421052630,7428.28947368421,1855.934210526320
2012-07-01,16128.40909090910,7584.26136363636,1847.750000000000
2012-08-01,15703.98863636360,7510.43181818182,1816.318181818180
2012-09-01,17287.96250000000,8087.74250000000,2009.850000000000
2012-10-01,17168.73913043480,8062.03260869565,1903.958695652170
2012-11-01,16335.36363636360,7711.22727272727,1912.397727272730
2012-12-01,17448.50000000000,7966.48684210526,2040.428947368420
2013-01-01,17494.06818181820,8053.73863636364,2031.409090909090
2013-02-01,17690.10000000000,8060.92500000000,2128.687500000000
2013-03-01,16731.70000000000,7652.37500000000,1929.150000000000
2013-04-01,15629.30952380950,7221.16190476190,1855.600000000000
2013-05-01,14948.22619047620,7248.71428571429,1831.011904761900
2013-06-01,14280.27500000000,7000.23750000000,1839.012500000000
2013-07-01,13750.31521739130,6906.64130434783,1837.619565217390
2013-08-01,14308.26190476190,7186.25000000000,1896.392857142860
2013-09-01,13801.39285714290,7159.26904761905,1846.880952380950
2013-10-01,14117.65217391300,7203.02173913044,1884.836956521740
2013-11-01,13684.01190476190,7070.65476190476,1866.416666666670
2013-12-01,13924.55000000000,7214.90000000000,1974.975000000000
2014-01-01,14101.25000000000,7291.46590909091,2036.931818181820
2014-02-01,14203.55000000000,7149.21250000000,2034.525000000000
2014-03-01,15678.09523809520,6650.03571428571,2007.904761904760
2014-04-01,17373.60000000000,6673.56250000000,2027.212500000000
2014-05-01,19401.07500000000,6891.12500000000,2058.975000000000
2014-06-01,18628.80952380950,6821.14285714286,2128.095238095240
2014-07-01,19117.65217391300,7113.38043478261,2310.619565217390
2014-08-01,18600.20000000000,7001.83750000000,2326.987500000000
2014-09-01,18034.79545454550,6872.21590909091,2294.590909090910
2014-10-01,15812.36956521740,6737.47826086957,2276.826086956520
2014-11-01,15807.05000000000,6712.85000000000,2253.225000000000
2014-12-01,15962.04761904760,6446.45238095238,2175.761904761900
2015-01-01,14849.19047619050,5830.53571428571,2113.047619047620
2015-02-01,14573.83750000000,5729.27500000000,2097.762500000000
2015-03-01,13755.50000000000,5939.67045454546,2028.727272727270
2015-04-01,12830.92500000000,6042.08750000000,2212.725000000000
2015-05-01,13511.34210526320,6294.77631578947,2281.802631578950
2015-06-01,12825.22727272730,5833.01136363636,2082.090909090910
2015-07-01,11413.09782608700,5456.75000000000,2000.684782608700
2015-08-01,10386.00000000000,5127.30000000000,1807.637500000000
2015-09-01,9937.54545454545,5217.25000000000,1720.227272727270
2015-10-01,10316.82954545450,5216.09090909091,1724.340909090910
2015-11-01,9244.33333333333,4799.90476190476,1583.309523809520
2015-12-01,8707.78571428571,4638.83333333333,1527.785714285710
2016-01-01,8507.28750000000,4471.78750000000,1520.362500000000
